Buff_size,Prod_or_cons,Size,PC_config,Is_fair,Randomization,Buff_access_num
10000,Consumer,32,100,true,fair,1324132
10000,Consumer,2048,100,true,fair,1323866
10000,Consumer,128,100,true,fair,1325214
10000,Consumer,512,100,true,fair,1326817
10000,Consumer,64,100,true,fair,1325865
10000,Consumer,4096,100,true,fair,1326933
10000,Consumer,256,100,true,fair,1323635
10000,Consumer,1024,100,true,fair,1325300
10000,Consumer,1,100,true,fair,1328236
10000,Consumer,2,100,true,fair,1325699
10000,Consumer,4,100,true,fair,1325489
10000,Consumer,8,100,true,fair,1327426
10000,Consumer,16,100,true,fair,1326137
10000,Producer,1024,100,true,fair,1324236
10000,Producer,4096,100,true,fair,1325603
10000,Producer,32,100,true,fair,1324813
10000,Producer,2048,100,true,fair,1326478
10000,Producer,512,100,true,fair,1327110
10000,Producer,256,100,true,fair,1326213
10000,Producer,64,100,true,fair,1324739
10000,Producer,128,100,true,fair,1328454
10000,Producer,1,100,true,fair,1325620
10000,Producer,2,100,true,fair,1324925
10000,Producer,4,100,true,fair,1326882
10000,Producer,8,100,true,fair,1326359
10000,Producer,16,100,true,fair,1325559
100000,Consumer,512,100,true,fair,1065832
100000,Consumer,16384,100,true,fair,1066455
100000,Consumer,128,100,true,fair,1066732
100000,Consumer,64,100,true,fair,1067770
100000,Consumer,2048,100,true,fair,1065799
100000,Consumer,256,100,true,fair,1066578
100000,Consumer,8192,100,true,fair,1066965
100000,Consumer,32768,100,true,fair,1067811
100000,Consumer,4096,100,true,fair,1065476
100000,Consumer,1024,100,true,fair,1065613
100000,Consumer,1,100,true,fair,1067987
100000,Consumer,2,100,true,fair,1066713
100000,Consumer,4,100,true,fair,1066275
100000,Consumer,8,100,true,fair,1065868
100000,Consumer,16,100,true,fair,1065470
100000,Consumer,32,100,true,fair,1067534
100000,Producer,2048,100,true,fair,1066486
100000,Producer,2048,100,true,fair,1066486
100000,Producer,32768,100,true,fair,1067042
100000,Producer,16384,100,true,fair,1067191
100000,Producer,128,100,true,fair,1067814
100000,Producer,512,100,true,fair,1066785
100000,Producer,64,100,true,fair,1066657
100000,Producer,256,100,true,fair,1068140
100000,Producer,1024,100,true,fair,1067839
100000,Producer,4096,100,true,fair,1067883
100000,Producer,8192,100,true,fair,1066719
100000,Producer,1,100,true,fair,1066281
100000,Producer,2,100,true,fair,1068518
100000,Producer,4,100,true,fair,1069883
100000,Producer,8,100,true,fair,1067551
100000,Producer,16,100,true,fair,1066837
100000,Producer,32,100,true,fair,1068475
